date,valor
18/09/2018,18.7694
19/09/2018,18.7672
20/09/2018,18.8296
21/09/2018,18.8539
24/09/2018,18.8516
25/09/2018,18.987
26/09/2018,18.8986
27/09/2018,18.812
28/09/2018,18.7231
01/10/2018,18.6531
02/10/2018,18.7503
03/10/2018,18.8014
04/10/2018,19.1328
05/10/2018,18.9444
08/10/2018,18.9234
09/10/2018,19
10/10/2018,19.1183
11/10/2018,19.0217
12/10/2018,18.9202
15/10/2018,18.8096
16/10/2018,18.7693
17/10/2018,18.8012
18/10/2018,19.1018
19/10/2018,19.2183
22/10/2018,19.3669
23/10/2018,19.4169
24/10/2018,19.4623
25/10/2018,19.4383
26/10/2018,19.479
29/10/2018,19.8022
30/10/2018,20.0258
31/10/2018,20.3177
01/11/2018,20.1329
05/11/2018,19.9636
06/11/2018,19.8609
07/11/2018,19.8245
08/11/2018,20.0438
09/11/2018,20.3614
12/11/2018,20.3179
13/11/2018,20.5158
14/11/2018,20.3979
15/11/2018,20.3371
16/11/2018,20.155
20/11/2018,20.4123
21/11/2018,20.2023
22/11/2018,20.2984
23/11/2018,20.3935
26/11/2018,20.5304
27/11/2018,20.4977
28/11/2018,20.4108
29/11/2018,20.2217
30/11/2018,20.3455
03/12/2018,20.2346
04/12/2018,20.5123
05/12/2018,20.5672
06/12/2018,20.4705
07/12/2018,20.2609
10/12/2018,20.3621
11/12/2018,20.2889
13/12/2018,20.2566
14/12/2018,20.3337
17/12/2018,20.1126
18/12/2018,20.1277
19/12/2018,20.0293
20/12/2018,19.9082
21/12/2018,19.9275
24/12/2018,19.8473
26/12/2018,19.8823
27/12/2018,19.6829
28/12/2018,19.6566
31/12/2018,19.6512
02/01/2019,19.5878
03/01/2019,19.6073
04/01/2019,19.4902
07/01/2019,19.3208
08/01/2019,19.3479
09/01/2019,19.2456
10/01/2019,19.1714
11/01/2019,19.1236
14/01/2019,19.0064
15/01/2019,19.0457
16/01/2019,18.9908
17/01/2019,19.063
18/01/2019,19.0844
21/01/2019,19.1902
22/01/2019,19.1297
23/01/2019,19.0771
24/01/2019,18.9859
25/01/2019,18.928
28/01/2019,19.0381
29/01/2019,18.9972
30/01/2019,19.1623
31/01/2019,19.0388
01/02/2019,19.1098
05/02/2019,19.0824
06/02/2019,19.1058
07/02/2019,19.08
08/02/2019,19.0893
11/02/2019,19.2524
12/02/2019,19.2592
13/02/2019,19.4084
14/02/2019,19.3569
15/02/2019,19.3625
18/02/2019,19.2578
19/02/2019,19.1778
20/02/2019,19.1835
21/02/2019,19.2652
22/02/2019,19.1394
25/02/2019,19.1185
26/02/2019,19.163
27/02/2019,19.2201
28/02/2019,19.2607
01/03/2019,19.2978
04/03/2019,19.3039
05/03/2019,19.2597
06/03/2019,19.3708
07/03/2019,19.5225
08/03/2019,19.4902
11/03/2019,19.4243
12/03/2019,19.3049
13/03/2019,19.332
14/03/2019,19.3233
15/03/2019,19.2176
19/03/2019,19.0004
20/03/2019,18.9098
21/03/2019,18.8694
22/03/2019,19.1369
